year,nino34
1680,-0.134923169932551
1681,0.390970514153188
1682,-0.036747126665633
1683,0.465737217001225
1684,-0.433411385782783
1685,-0.688685695488703
1686,0.23005798150569
1687,0.630169368051329
1688,0.17980302974922
1689,-0.122408520204718
1690,-0.355790760689406
1691,-0.395761201991393
1692,0.304114538922757
1693,0.204256560612581
1694,0.542000666786331
1695,-0.00943098797612828
1696,-0.962119219505628
1697,-0.790131202620329
1698,0.362644151799535
1699,-0.22339770832575
1700,-0.0139170303682541
1701,0.15139941595393
1702,-0.462983916480411
1703,0.874146211149693
1704,0.375939500748451
1705,-0.367991179156624
1706,-0.198475313495569
1707,-0.145077980914009
1708,-0.133899896476415
1709,-0.369312887241519
1710,-0.211013569851162
1711,0.187571688125103
1712,0.75448994770314
1713,0.409828855497327
1714,0.0858333116090937
1715,-0.644508330939071
1716,-1.04707529212075
1717,-0.249902753557281
1718,0.288870634918317
1719,0.0231823642348714
1720,0.0348983029539743
1721,0.683490076529419
1722,-0.0150371791107457
1723,0.468139238012815
1724,-0.5615698530388
1725,-0.5738543499267
1726,0.0970646828297092
1727,-0.195695227928909
1728,0.923882203950835
1729,0.356587902565434
1730,-0.478576561946907
1731,-0.456024495884068
1732,-0.442460261302672
1733,0.205436688098579
1734,-0.129536057412657
1735,-0.0714321562821409
1736,0.318542750732742
1737,0.212401323941512
1738,-0.358648767861388
1739,0.222574637095767
1740,0.00178642665466361
1741,0.386606765482845
1742,-0.298784607939432
1743,-0.881834572030039
1744,-0.0238711918441872
1745,-0.260980733196099
1746,-0.298487962739306
1747,1.15187956959469
1748,0.267794701889336
1749,1.13421446987334
1750,-0.357106068828792
1751,0.084648245181071
1752,-1.05924797158428
1753,-0.480403143671517
1754,-0.0978001217276918
1755,-0.217164888125436
1756,-0.456998962741888
1757,-0.81025873960428
1758,-0.0540606829805795
1759,0.285720621067129
1760,0.259027497115316
1761,0.620173666519957
1762,0.45351922992711
1763,-0.0344632162823419
1764,0.0223657774195834
1765,-0.467621984051393
1766,-0.0512951306063105
1767,-0.0685483428082529
1768,0.207800350691614
1769,0.123915982934078
1770,-0.147800866842416
1771,0.286011654370948
1772,-0.173742895527883
1773,-0.193154341288185
1774,-0.259614988183174
1775,0.00478283193326413
1776,0.741530063659627
1777,0.0904529555228175
1778,-0.542884838838438
1779,0.0617370496822756
1780,-0.183718501419005
1781,-0.193942031925255
1782,-0.113697878713119
1783,-0.323863825859621
1784,0.48537070202853
1785,0.366579670899514
1786,0.551141771423632
1787,-0.524910191431598
1788,-0.376624328405111
1789,-1.02151438957163
1790,-0.24275372011482
1791,0.462624907893233
1792,0.954235060900308
1793,-0.0981044463213945
1794,-0.255791478722012
1795,0.274802743371473
1796,-0.0297317311863422
1797,-0.154344864569344
1798,0.228656653648349
1799,0.318960902927449
1800,0.583436885295683
1801,-0.226342392455193
1802,-0.668162258814064
1803,-0.0950497884533048
1804,0.874825448989776
1805,-0.347415640969535
1806,-0.828996239780126
1807,0.175870586179216
1808,0.838630544164475
1809,0.442755781859463
1810,-0.78662264358227
1811,-0.587412479962044
1812,0.290140120108078
1813,-0.298143407451361
1814,-0.0201286559589687
1815,0.349583090769715
1816,0.646993340360273
1817,0.315137361219449
1818,-0.260571749834721
1819,-0.602016354293584
1820,-0.178395615725899
1821,0.411758940952595
1822,-0.103031500314676
1823,0.510506041016445
1824,-0.318516819046943
1825,0.196192373063205
1826,-0.361461603883982
1827,0.160573629108043
1828,0.361834344208181
1829,0.100750540579169
1830,-0.0186994114403905
1831,0.475557345301093
1832,-0.0398117966192753
1833,0.173537149736106
1834,-0.636820906271639
1835,-0.213899457209492
1836,-0.341266468350186
1837,0.330990308603972
1838,0.656257627190154
1839,0.0534770018695208
1840,0.25311444008296
1841,-0.285853509240707
1842,-0.393289588071022
1843,0.0106860058637696
1844,-0.0856114283696983
1845,0.426787933326278
1846,0.33065511770247
1847,-0.250937177314742
1848,-0.53336832791143
1849,-0.358671098650584
1850,0.164613639196432
1851,0.396364930309697
1852,0.270272869128547
1853,0.30020460758372
1854,0.143061818399576
1855,0.209219944002656
1856,-0.215560422387788
1857,-0.12580143116583
1858,0.302714541759986
1859,-0.476180933717288
1860,-0.275647255086762
1861,-0.196336876252192
1862,-0.0141984874295761
1863,-0.0277631916471734
1864,0.416957206162153
1865,0.192063243184052
1866,0.249887242286918
1867,-0.102286731916626
1868,0.271599921782285
1869,-0.202030903396116
1870,-0.0317719095788787
1871,-0.203985763893747
1872,-0.165486777344767
1873,0.1331705983563
1874,-0.0860672731345156
1875,-0.144827686344261
1876,-0.0669154016529477
1877,0.804630662247228
1878,0.492615465010618
1879,-0.782788897617445
1880,-0.456544545352776
1881,-0.375712736046508
1882,-0.52036205413533
1883,-0.427965524704215
1884,0.91098805673493
1885,0.349000269833841
1886,-0.428270881625741
1887,0.036346908637718
1888,1.11840050963875
1889,-0.370325136688787
1890,-0.415357938124434
1891,0.416940887138321
1892,-0.34930229021445
1893,-0.673202447919776
1894,-0.20814917105901
1895,0.208253226597346
1896,0.808912953093132
1897,-0.668139613321308
1898,-0.524151660263874
1899,0.226100390338253
1900,-0.0671686771804045
1901,-0.068726597820584
1902,0.654590242455124
1903,-0.178532495019302
1904,0.297293740472592
1905,1.23742104662467
1906,0.293081106967661
1907,0.03667201079866
1908,-1.12777892304304
1909,-0.777676175172635
1910,-0.828716220352499
1911,0.832282300941051
1912,0.346990383819712
1913,0.192984669541379
1914,0.796957810203462
1915,0.146086512254396
1916,-0.991741635652476
1917,-1.03425784551466
1918,0.849963955011035
1919,1.0456406730987
1920,-0.296591458662727
1921,-0.664398280142757
1922,-0.112378930158177
1923,0.638698666063435
1924,-0.381033031434956
1925,0.288111254152021
1926,-0.00154608997578459
1927,-0.441088770309083
1928,-0.33693925303194
1929,0.286864046716179
1930,1.30002854240714
1931,0.191585100556674
1932,-0.376266760682432
1933,-0.837633101645638
1934,-0.295835167420888
1935,-0.179153219465681
1936,0.0839862547388396
1937,-0.237369331811696
1938,-0.278543158231291
1939,0.406967242155177
1940,1.30990012272427
1941,1.23655546179566
1942,-0.189073959841063
1943,-0.833014342492462
1944,-0.321016213698881
1945,-0.436925717475014
1946,0.23852753610428
1947,-0.00558389536370266
1948,0.207752282704228
1949,-0.606860474291157
1950,-0.583789574600261
1951,0.877993860313115
1952,0.216117101385249
1953,0.39567031603254
1954,-0.685339967309743
1955,-0.938189690179742
1956,-0.516893478079859
1957,0.79648692699949
1958,1.1428120326417
1959,-0.0403680441222786
1960,-0.605448424793728
1961,0.0166486644271104
1962,-0.471881680914004
1963,0.355190598589653
1964,-0.491369029569765
1965,1.08166561239449
1966,0.138421722006562
1967,-0.424225274872973
1968,0.0557570571001399
1969,0.552550891689876
1970,-0.790166157538138
1971,-0.443599756863034
1972,1.26579619921905
1973,-0.646311740602745
1974,-0.490215815071976
1975,-1.15453637581058
1976,0.50011986589184
1977,0.389633957250505
1978,-0.0416043251228893
1979,0.202155219681994
1980,0.347563123273597
1981,-0.405018270372642
1982,0.885285648620255
1983,-0.0169914396626659
1984,-0.292643921199236
1985,-0.426330969585886
1986,0.611796906810309
1987,0.905464241759642
1988,-1.02619515506986
1989,-0.62564315707742
1990,0.166610255812666
1991,0.620891987602602
1992,0.122684079457638
1993,0.0372886388131976
1994,0.544947424275042
1995,-0.410531980939758
